,author,content,score,time
38,Jey Bird,"Does anyone know why they're holding out? Are they wanting more money, or is it entirely on principle? This news seems one sided, let's hear from the leaders and what they're saying.",0,2020-02-21T00:38:55.000Z
39,George Warkentin,Truedope and his liberal losers should be executed .,1,2020-02-21T00:27:25.000Z
40,Anne Watt,"Buy Ukraine buy India buy USA buy Spain buy Canadian 
Let's start up factories again here in canada that make stuff 
Boost our economy again in Canada 
Come on business men and women let's do it!
Rebuild Canada",3,2020-02-21T00:00:39.000Z
41,Anne Watt,"Steve Bannon trumps ex politician 
Did a talk show with a billionaire that says 250.,million in quarantined and 1.5 million infected that the numbers are not true what the Chinese Comunist Party is reporting 
And they are trying to get western media to only report good news",0,2020-02-20T23:56:57.000Z
42,auni hanna,Prime minster has to put a pause on the pipe business for further Negotiation and enforce everything get back to Routine… other leaders would of done it already…this should never get that far…it seems this been planned by other party… all parties has to unite and Suport Each other to resolve it together…don’t flex muscles against each other… which Century are we in?!!!,0,2020-02-20T23:48:27.000Z
43,kailyn.simard,lol they are sending the ppl on the ship to the nav centere in cornwall so imma die peace,1,2020-02-20T23:44:56.000Z
44,Desley Mendoza,"Makes no sense how a father would be the lone survivor in a house fire with 7 children. As a parent, I would die getting my children out. Survival for myself would be pointless if I couldn't get my children. This sounds so fishy.",0,2020-02-20T23:11:29.000Z
45,Thomas Troxel,"I thought that the ""Native Americans"" has their own ""Sovereign"" NATION within our borders. They are a ""Country"" within a Country? Companies can offer them money, but if they say ""No""? Then the answer is ""NO"". As far as the ""Corona Virus""? Everything we get from ""China"" including ""Prescriptions"" can be ""Contaminated"". What a ""Mess'.",0,2020-02-20T22:58:55.000Z
46,James Trickman,The majority suffers in Canada because of just a few people being egged on or encouraged by non Canadian entities. Your president is either on it or just plain dumb. President or Prime minister whatever.,0,2020-02-20T22:55:19.000Z
47,Great Spirit,"It's there land. Show them some respect and like they said, speak with them before tearing up their lands.",0,2020-02-20T22:49:46.000Z
48,David Gates,Lol! Who's the Real Bullies? Seems like the little people are getting stepped on! Again!,0,2020-02-20T22:18:20.000Z
49,teachmehowtodoge,"""You don't need that gas pipeline. I'm one call away."" - Elon Musk",0,2020-02-20T22:07:20.000Z
50,Maheswara Reddy Satti,live nature live,0,2020-02-20T21:38:23.000Z
51,Mary LaFrance,"Typical corporate businessmen protecting business as usual. The native people get trounced upon for trying to protect their land from decimation by oil and gas, Take a look at what oil and gas has done to Tar Sands Alberta. And always the same excuse ""jobs and the economy"". This is a takings by oil and gas.",0,2020-02-20T21:13:33.000Z
52,Reno Reins the BH,"How do you allow protesters to block trains 😂what kind of country Canada is? I mean if you try block trains anywhere else, you'll get removed real fast. But these protesters seem to have some exceptional privilege.",2,2020-02-20T21:09:17.000Z
53,From mb Mars,"Air pollution causes 800,000 extra deaths a year in Europe and 8.8 million worldwide",0,2020-02-20T20:55:39.000Z
54,MrLoobu,"This is the future health of the land and the people. Lay offs < over generational environment health damage. Its 2020, fuck pipelines and fossil fuel expansion of any kind. Shut it down, their land is not to be played with for the gain of oil companies.",0,2020-02-20T20:27:10.000Z
55,Tony Byrd,"I swear I heard blockade before oh yeah SHTF scenario a certain group of people want to block the highways so the city's don't get any food, so what's the problem with the Indians doing it?",0,2020-02-20T20:24:35.000Z
56,Ivan,Yea like half of this video is not about covid19,0,2020-02-20T20:19:17.000Z
57,ManBearPig,I mean if the protesters believe they have the right to block the rails then anyone else has the right to tear down their blockades.,0,2020-02-20T19:57:29.000Z
58,Joe Iazzetta,Anymore I'm only keeping track of the death toll outside of China. Chinas numbers are anybody's guess.,1,2020-02-20T19:57:29.000Z
59,GodGunsGutsandNRA,"How in the hell did China get control of 80% of worlds medications???? The most corrupt, communist country EVER???? Oh yeah, $$$$$$ payoff to governments!!!!",10,2020-02-20T19:48:53.000Z
60,utube,"I support the rail blockades..for too many years the 

first Nations of Canada have been walked over. bullied, and pushed around.  So glad to see them unite from coast to coast.  Stay strong.",0,2020-02-20T19:45:32.000Z
