,author,content,time
73,Ahmad70703039,guys help us follow up on this story this guy was on the frontline to end up like this ain t fair at all COVID19tr COVID COVIDUSA,2020-04-18 21:14:47
74,JDRJAY,No actually they didn t they died from other ailments but they lumping all deaths as corona as heart diabetes complications will go down A political ploy as the statistics are skewed to meet the needs of the state A sheer joke,2020-04-18 21:14:39
75,RhondaR84065326,Is the US spraying all the public transit areas like they do in other countries,2020-04-18 21:14:26
76,HendyLieutenant,Oh its ramping up 30 more days and it will really ramped Also the capacity is there now and ability to surge,2020-04-18 21:11:56
77,WilliamtonA,you re part of the problem stop airing Trump s daily rallies,2020-04-18 21:09:56
78,ozment_kevin,are you paying attention,2020-04-18 21:09:30
79,HendyLieutenant,The guy was great Extremely good actor Unique presence,2020-04-18 21:09:21
80,CrazzzyWeed,The ultimate measure of a man is not where he stands in moments of comfort and convenience but where he stands at times of challenge and controversy Martin Luther King Jr Thank God for President Trump,2020-04-18 21:08:46
81,HendyLieutenant,Pardon him Easy,2020-04-18 21:08:40
82,HendyLieutenant,Bam,2020-04-18 21:07:34
83,HendyLieutenant,About damn time,2020-04-18 21:07:00
84,NativeSite,This is just sad and it doesn t look like it s going to get better anytime soon,2020-04-18 21:05:58
85,CrazzzyWeed,Only a leader with a strong backbone would call out the seemingly corrupted W H O,2020-04-18 21:05:10
86,Brent_Plonsky,CNN and their young making up stories 24 7,2020-04-18 21:04:20
87,guimor56,What Trump is doing with the WHO and with China is immoral He caused the deaths and expansion of COVID19 We have seen the videos in which he gradually changed his mind until he recognized the danger when it was too late His attitude could provoke a nuclear confrontation,2020-04-18 20:59:18
88,Dynastytalkster,Watch if you want to be red pilled There is no going back unfortunately,2020-04-18 20:54:10
89,usaub40,DJ Peggy Gou South korea in seoul,2020-04-18 20:54:07
